latitude,longitude
47.884469,11.697323
47.887029,11.694277
47.887571,11.693541
47.888963,11.692023
47.889559,11.691493
47.890312,11.690909
47.891035,11.690424
47.892077,11.689804
47.892769,11.689435
47.894143,11.688825
47.910692,11.682438
47.911342,11.682141
47.913395,11.681306
47.921969,11.678036
47.965397,11.661201
47.966269,11.660806
47.967622,11.660087
47.968669,11.659441
47.969775,11.658659
47.970732,11.657923
47.971694,11.657096
47.973979,11.654859
47.974196,11.654689
47.974707,11.654069
47.975862,11.652533
47.976553,11.651544
47.977624,11.649856
47.978574,11.648167
48.008428,11.592498
48.009359,11.590908
48.010200,11.589704
48.010862,11.588896
48.011919,11.587809
48.012929,11.586974
48.013734,11.586417
48.014197,11.586147
48.017123,11.584692
48.019461,11.583614
48.021804,11.582545
48.023342,11.581898
48.023775,11.581799
48.024297,11.581799
48.024670,11.581880
48.025277,11.582132
48.025697,11.582401
48.026346,11.583012
48.033687,11.591294
48.035904,11.593738
48.047513,11.606763
48.048258,11.607419
48.048973,11.607931
48.049483,11.608237
48.051873,11.609458
48.056316,11.611516
48.057349,11.611830
48.058070,11.611965
48.059925,11.612082
48.060699,11.612180
48.065220,11.612387
48.067381,11.612477
48.067897,11.612423
48.079578,11.609467
48.091352,11.606485
48.091832,11.606341
48.093170,11.605820
48.094274,11.605290
48.096014,11.604302
48.096500,11.604140
48.100351,11.601679
48.102445,11.600242
48.103075,11.599882
48.105037,11.598975
48.105636,11.598643
48.109085,11.597116
48.111131,11.596083
48.112276,11.595579
48.112552,11.595499
48.113764,11.595274
48.115119,11.595157
48.115935,11.595193
48.116541,11.595301
48.118562,11.595777
48.119203,11.595939
48.120115,11.596145
48.120787,11.596316
48.121338,11.596568
48.121908,11.597008
48.122598,11.597798
48.125578,11.601787
48.126100,11.602658
48.126795,11.604069
48.127712,11.605533
48.126795,11.604069
48.126100,11.602658
48.125938,11.602236
48.125794,11.601688
48.125710,11.601149
48.125674,11.600664
48.125656,11.600215
48.125668,11.599757
48.125728,11.599307
48.125830,11.598885
48.126010,11.598355
48.126273,11.597825
48.128216,11.594600
48.129187,11.593073
48.131190,11.589965
48.131520,11.589390
48.131766,11.588842
48.131904,11.588447
48.132335,11.586731
48.132797,11.585518
48.133348,11.584386
48.134212,11.583138
48.135201,11.581494
48.135417,11.581036
48.135758,11.579976
48.136322,11.577838
48.136850,11.576436
48.137143,11.575394
48.137767,11.572619
48.138156,11.571343
48.138300,11.570705
48.138384,11.570166
48.138480,11.569115
48.138696,11.567822
48.139098,11.566339
48.139200,11.566079
48.139487,11.565621
48.140159,11.563878
48.140794,11.561866
48.141256,11.560024
48.141441,11.559027
48.141945,11.556862
48.142245,11.555056
48.142281,11.554446
48.142263,11.553880
48.142167,11.553116
48.141921,11.551535
48.141843,11.550520
48.141843,11.549496
48.141903,11.548526
48.142299,11.543666
48.142395,11.541707
48.142622,11.538545
48.142670,11.536524
48.142724,11.532446
48.142688,11.530721
48.143557,11.519241
48.143545,11.517085
48.143408,11.513734
48.143414,11.512602
48.143456,11.511722
48.143917,11.507140
48.144343,11.503709
48.144858,11.498112
48.145014,11.496891
48.145589,11.493010
48.145661,11.492354
48.145703,11.491456
48.145691,11.488482
48.145715,11.487746
48.145703,11.487386
48.146752,11.473418
48.146890,11.472007
48.147142,11.470489
48.147352,11.469600
48.147567,11.468863
48.148125,11.467147
48.149108,11.464443
48.149959,11.461766
48.150684,11.459467
48.151265,11.457913
48.151811,11.456062
48.152182,11.454427
48.152632,11.451391
48.153009,11.449873
48.153261,11.449064
48.153669,11.448040
48.154016,11.447295
48.154430,11.446549
48.154759,11.446037
48.157456,11.442300
48.158673,11.440440
48.159823,11.438446
48.163077,11.432490
48.176024,11.408847
48.177557,11.406170
48.186212,11.390243
48.195183,11.373839
48.200051,11.364730
48.201614,11.361496
48.202165,11.360302
48.203255,11.357750
48.204524,11.354552
48.205799,11.350941
48.207517,11.345453
48.208134,11.343333
48.208726,11.341123
48.209307,11.338661
48.210008,11.335463
48.210247,11.334035
48.210606,11.332202
48.210828,11.330801
48.211534,11.324998
48.211887,11.321593
48.212073,11.318512
48.212205,11.316949
48.212342,11.314155
48.212749,11.300510
48.212971,11.294958
48.213893,11.266814
48.214000,11.262502
48.214144,11.257930
48.214246,11.255612
48.214521,11.245901
48.214713,11.241374
48.215120,11.228627
48.215329,11.221862
48.215449,11.219033
48.216137,11.197006
48.216437,11.185579
48.216724,11.178662
48.216856,11.176093
