latitude,longitude
48.353772,11.786130
48.353653,11.783929
48.352095,11.763735
48.350196,11.739472
48.350160,11.738430
48.350130,11.733570
48.350089,11.731872
48.349957,11.730470
48.349796,11.729419
48.349528,11.728198
48.349235,11.727174
48.348566,11.725395
48.346769,11.721451
48.345915,11.719745
48.345444,11.718927
48.344465,11.717409
48.343742,11.716430
48.342912,11.715442
48.339980,11.712244
48.339515,11.711705
48.338332,11.710079
48.337610,11.708974
48.336642,11.707276
48.335717,11.705318
48.335215,11.704087
48.334493,11.702138
48.334093,11.700880
48.333788,11.699739
48.333519,11.698428
48.333370,11.697493
48.332970,11.694250
48.332791,11.692328
48.332606,11.689822
48.332462,11.686166
48.332516,11.684899
48.332420,11.683866
48.332462,11.682375
48.332468,11.680228
48.332373,11.678835
48.332247,11.677964
48.332086,11.677155
48.331740,11.675934
48.331405,11.675035
48.331148,11.674487
48.330712,11.673688
48.330384,11.673176
48.329888,11.672511
48.326914,11.668963
48.326400,11.668271
48.324668,11.666196
48.323838,11.665073
48.321962,11.661893
48.320415,11.659054
48.319668,11.657563
48.317482,11.653700
48.316861,11.652443
48.316395,11.651392
48.315666,11.649568
48.310014,11.634899
48.302982,11.616762
48.291029,11.585860
48.290503,11.584719
48.290103,11.583973
48.289714,11.583335
48.288250,11.581233
48.284323,11.576032
48.283785,11.575430
48.283205,11.574900
48.282171,11.574155
48.273675,11.568576
48.259222,11.559234
48.256925,11.557697
48.255693,11.556862
48.255041,11.556494
48.252242,11.554589
48.251243,11.553978
48.228837,11.543513
48.227305,11.542875
48.225552,11.542318
48.224523,11.542076
48.223092,11.541851
48.219483,11.541573
48.213803,11.541276
48.211600,11.541025
48.210510,11.540980
48.209547,11.540827
48.208822,11.540594
48.208307,11.540351
48.207565,11.539893
48.206936,11.539381
48.206098,11.538492
48.205554,11.537755
48.197776,11.525861
48.196483,11.523930
48.196004,11.523274
48.195393,11.522519
48.180169,11.506125
48.178611,11.504400
48.175425,11.501041
48.175035,11.500681
48.172196,11.497663
48.171752,11.497160
48.170782,11.495902
48.170326,11.495220
48.166133,11.488383
48.164017,11.485015
48.163316,11.484027
48.162472,11.483083
48.161675,11.482383
48.161039,11.481970
48.160356,11.481619
48.159475,11.481305
48.159146,11.481242
48.158445,11.481197
48.157834,11.481242
48.156737,11.481520
48.153543,11.482904
48.151907,11.483865
48.151122,11.484440
48.150900,11.484584
48.149821,11.485410
48.148562,11.486838
48.148023,11.487467
48.147663,11.487997
48.147406,11.488392
48.147256,11.488689
48.147076,11.489120
48.146770,11.489991
48.146165,11.491869
48.145751,11.493441
48.145559,11.494303
48.145188,11.496334
48.144894,11.498508
48.144355,11.503835
48.143917,11.507140
48.143456,11.511722
48.143414,11.512602
48.143408,11.513734
48.143545,11.517085
48.143557,11.519241
48.142688,11.530721
48.142724,11.532446
48.142670,11.536524
48.142622,11.538545
48.142395,11.541707
48.142299,11.543666
48.141903,11.548526
48.141843,11.549496
48.141843,11.550520
48.141921,11.551535
48.142167,11.553116
48.142263,11.553880
48.142281,11.554446
48.142245,11.555056
48.141945,11.556862
48.141441,11.559027
48.141256,11.560024
48.140794,11.561866
48.140159,11.563878
48.139487,11.565621
48.139200,11.566079
48.139098,11.566339
48.138696,11.567822
48.138480,11.569115
48.138384,11.570166
48.138300,11.570705
48.138156,11.571343
48.137767,11.572619
48.137143,11.575394
48.136850,11.576436
48.136322,11.577838
48.135758,11.579976
48.135417,11.581036
48.135201,11.581494
48.134212,11.583138
48.133348,11.584386
48.132797,11.585518
48.132335,11.586731
48.131904,11.588447
48.131766,11.588842
48.131520,11.589390
48.131190,11.589965
48.129187,11.593073
48.128216,11.594600
48.126273,11.597825
48.126010,11.598355
48.125830,11.598885
48.125728,11.599307
48.125668,11.599757
48.125656,11.600215
48.125674,11.600664
48.125710,11.601149
48.125794,11.601688
48.125938,11.602236
48.126100,11.602658
48.126795,11.604069
48.127712,11.605533
48.129937,11.608785
48.132701,11.612270
48.133187,11.613061
48.133474,11.613591
48.133714,11.614130
48.133942,11.614776
48.134248,11.615980
