latitude,longitude
48.043423,11.940173
48.045273,11.938880
48.047063,11.937272
48.047663,11.936661
48.048270,11.935969
48.049069,11.934954
48.049651,11.934137
48.050708,11.932502
48.058502,11.919000
48.059066,11.917859
48.059325,11.917221
48.060627,11.913296
48.061018,11.912281
48.061540,11.911194
48.063497,11.907466
48.063761,11.906918
48.064145,11.905983
48.064458,11.905049
48.067603,11.893928
48.068042,11.892589
48.068312,11.891907
48.068774,11.890910
48.069104,11.890326
48.070983,11.887280
48.074524,11.881109
48.077837,11.875486
48.078774,11.873716
48.079422,11.872234
48.079998,11.870706
48.082471,11.863924
48.084811,11.856962
48.085177,11.855723
48.085393,11.854851
48.085723,11.853252
48.087758,11.842320
48.089540,11.832420
48.089972,11.830192
48.090704,11.826006
48.091172,11.823725
48.097586,11.794188
48.099200,11.787037
48.101977,11.774012
48.104095,11.764553
48.106500,11.753288
48.109403,11.739921
48.110237,11.736148
48.111095,11.732465
48.111317,11.730974
48.112216,11.727308
48.112684,11.724991
48.117554,11.702506
48.118100,11.700197
48.118364,11.698841
48.124061,11.672439
48.125074,11.667993
48.126034,11.663339
48.126735,11.660384
48.126963,11.659611
48.127209,11.658938
48.128384,11.656422
48.128768,11.655515
48.130584,11.651751
48.131070,11.650673
48.131484,11.649595
48.131987,11.647978
48.132239,11.646918
48.132449,11.645813
48.133115,11.641950
48.133444,11.638914
48.133972,11.633596
48.134529,11.627515
48.134913,11.622161
48.134871,11.620732
48.134817,11.620157
48.134553,11.617849
48.134356,11.616573
48.134248,11.615980
48.133942,11.614776
48.133714,11.614130
48.133474,11.613591
48.133187,11.613061
48.132701,11.612270
48.129937,11.608785
48.127712,11.605533
48.126795,11.604069
48.126100,11.602658
48.125938,11.602236
48.125794,11.601688
48.125710,11.601149
48.125674,11.600664
48.125656,11.600215
48.125668,11.599757
48.125728,11.599307
48.125830,11.598885
48.126010,11.598355
48.126273,11.597825
48.128216,11.594600
48.129187,11.593073
48.131190,11.589965
48.131520,11.589390
48.131766,11.588842
48.131904,11.588447
48.132335,11.586731
48.132797,11.585518
48.133348,11.584386
48.134212,11.583138
48.135201,11.581494
48.135417,11.581036
48.135758,11.579976
48.136322,11.577838
48.136850,11.576436
48.137143,11.575394
48.137767,11.572619
48.138156,11.571343
48.138300,11.570705
48.138384,11.570166
48.138480,11.569115
48.138696,11.567822
48.139098,11.566339
48.139200,11.566079
48.139487,11.565621
48.140159,11.563878
48.140794,11.561866
48.141256,11.560024
48.141441,11.559027
48.141945,11.556862
48.142245,11.555056
48.142281,11.554446
48.142263,11.553880
48.142167,11.553116
48.141921,11.551535
48.141843,11.550520
48.141843,11.549496
48.141903,11.548526
48.142299,11.543666
48.142395,11.541707
48.142622,11.538545
48.142670,11.536524
48.142724,11.532446
48.142688,11.530721
48.143557,11.519241
48.143545,11.517085
48.143408,11.513734
48.143414,11.512602
48.143456,11.511722
48.143917,11.507140
48.144343,11.503709
48.144858,11.498112
48.145014,11.496891
48.145589,11.493010
48.145661,11.492354
48.145703,11.491456
48.145691,11.488482
48.145715,11.487746
48.145703,11.487386
48.146752,11.473418
48.146890,11.472007
48.147142,11.470489
48.147352,11.469600
48.147567,11.468863
48.148125,11.467147
48.149108,11.464443
48.149959,11.461766
48.150666,11.459323
48.151553,11.455927
48.151679,11.455200
48.151787,11.454265
48.151829,11.453448
48.151817,11.452586
48.151751,11.451705
48.151601,11.450645
48.151265,11.449145
48.151038,11.448238
48.150804,11.447474
48.150414,11.446450
48.150157,11.445893
48.149707,11.444977
48.149252,11.444231
48.149150,11.444097
48.149018,11.443935
48.148724,11.443602
48.148155,11.443153
48.147885,11.442947
48.129499,11.431691
48.128258,11.430891
48.128222,11.430909
48.127796,11.430649
48.119635,11.425618
48.116127,11.423417
48.115269,11.422780
48.105456,11.413742
48.102769,11.411218
48.102139,11.410562
48.100207,11.408766
48.098204,11.406754
48.096584,11.404930
48.093512,11.401085
48.081630,11.386335
48.080568,11.385248
48.072580,11.377774
48.070713,11.376184
48.068318,11.374540
48.067891,11.374208
48.059883,11.366096
48.059306,11.365566
48.058418,11.364919
48.057793,11.364569
48.057139,11.364281
48.045922,11.360149
48.035567,11.356987
48.034762,11.356690
48.034222,11.356430
48.033699,11.356134
48.033315,11.355855
48.032960,11.355568
48.032462,11.355065
48.030215,11.352271
48.029608,11.351606
48.028977,11.351103
48.028251,11.350690
48.027500,11.350402
48.026707,11.350303
48.025974,11.350321
48.024195,11.350645
48.023450,11.350726
48.022903,11.350708
48.022056,11.350555
48.021293,11.350268
48.020668,11.349926
48.018613,11.348372
48.018007,11.347986
48.016985,11.347510
48.015988,11.347276
48.014942,11.347213
48.012496,11.347294
48.006234,11.347366
47.999731,11.347537
47.998576,11.347456
47.998077,11.347366
47.997621,11.347150
47.997134,11.346836
47.996833,11.346495
47.996605,11.346126
47.996370,11.345695
47.996268,11.345426
47.995931,11.343872
47.995733,11.342308
47.995661,11.341931
47.995402,11.341195
47.995168,11.340763
47.994958,11.340485
47.994615,11.340170
47.993082,11.339119
47.991399,11.337449
47.987250,11.334313
47.986457,11.333622
47.985958,11.333128
47.984941,11.332005
47.970906,11.314353
47.970407,11.313787
47.969817,11.313203
47.969330,11.312817
47.968651,11.312395
47.966654,11.311487
47.965553,11.310769
47.965090,11.310373
47.964272,11.309511
47.962148,11.306780
47.961860,11.306367
47.961553,11.305954
47.960759,11.305235
47.957348,11.302792
47.956494,11.302010
47.955838,11.301237
47.951669,11.295165
47.950923,11.294302
47.947974,11.291320
47.946958,11.290242
